原文	译文
【VIP4级】将会开放悬赏任务【立即完成】，是否前去提升VIP等级？	"VIP 4" can enjoy "Complete Now" for Bounty Task. Upgrade to VIP now?
更高的vip可以开放更多的【组队战役】购买次数，是否前期提升VIP等级？	Higher VIP can enjoy more "Team Battle" chance. Upgrade to VIP now?
更高的vip可以开放更多的【夺宝奇兵】重置次数，是否前期提升VIP等级？	Higher VIP can enjoy more "Treasure Hunter" reset chance. Upgrade to VIP now?
VIP 7可以直接购买材料，是否前去提升VIP等级？	VIP 7 can enjoy "Buy Material" for Smithy Forge. Upgrade to VIP now?
更高的等级可以使用更多的贝壳激活次数，是否前期提升VIP等级	Higher VIP can enjoy more "Shell Activate" chance. Upgrade to VIP now?
VIP等级越高可购买更多的天梯挑战次数。是否提升VIP等级？	Higher VIP can enjoy more "Ladder" chance. Upgrade to VIP now?
VIP等级越高可购买更多的海上霸主挑战次数。是否提升VIP等级？	Higher?VIP?can?enjoy?more?"Overlord?Battle"?chance.?Upgrade?to?VIP?now?
VIP等级越高可使用更多的精魄商店刷新次数。是否提升VIP等级？	Higher?VIP?can?enjoy?more?"Spirit?Refresh"?chance.?Upgrade?to?VIP?now?
VIP等级越高可购买更多的钓鱼挑战次数。是否提升VIP等级？	Higher VIP can enjoy more "Fishing" chance. Upgrade to VIP now?
VIP等级越高可购买更多的极限挑战次数。是否提升VIP等级？	Higher VIP can enjoy more "Ultimate Challenge" chance. Upgrade to VIP now?
次数已用完	No?more?chances
您的聊天频率太快，请等待一会再发言。	Too many messages. Please wait a while.
您等级不足，无法在世界频道发言。	World Channel is only available after Lv10.
加入海贼团才能使用该频道	Please joined Pirates Team before chatting in Pirates Channel.
战斗中才能使用该频道	Not in battle
您的等级不足，{0}级开放此场景	Level too low, Lv{0} can activate the scene
接受任务	Task Accepted
提交任务	Task Submitted
星最高	Star Max
刷星成功，星级提升	Upgrade Stars successfully, Stars level increase
刷星失败，星级不变	Upgrade Stars failed, Stars level remain the same
刷星失败，星级降低	Upgrade Stars failed, Stars level decrease
刷星成功，星级已达最大	Upgrade Stars successfully, Stars level max
包裹扩展成功	Bag Expanded
恭喜你获得一个在线时间包裹格	Congrats! You claimed an Online Bag Space
船员数据不存在	Crew data doesn't exist.
船员数量已达上限	Crew number cap reached
请选择使用经验书的个数	Please choose the amount you want to use.
主角无法使用经验书	EXP Books cannot be used on your Main.
船员使用经验书成功	EXP Book used
船员{0}已经离队	Crew member {0} has been dismissed
该船员身上有装备，无法离队	Armed crew members cannot be dismissed
该船员身上有宝物，无法离队	Crew member with token cannot be dismissed
该船员正在阵上，无法离队	Crew member in Formation now. Cannot be dismissed.
该船员正在参加夺宝奇兵，无法离队	Crew member in Treasure Hunter now. Cannot be dismissed.
该船员已经在队伍中，无需归队	Crew member in team now
船员{0}归队成功	Crew member {0} recalled
变身成功	Figure changed
{0}成为了你的伙伴	{0} has become your companion.
船员训练开始	Crew training begins.
船员训练完成	Crew training complete
船员突破已达上限	Max limit reached
船员突破所需等级不足	Level too low
船员突破所需材料不足	Not enough material
船员星级已达上限	Max limit reached
船员升星所需碎片不足	Not enough fragments
船员晋级所需材料不足	Not enough material
技能觉醒成功	Skill Awakened successfully.
英雄觉醒材料不足	Crew Awakening materials not enough.
道具数据不存在	Item data don't exist.
等级不足，无法使用	Level too low. Cannot use it.
道具使用成功	Item used
{0}使用成功，获得贝利{1}	{0} used. {1} Beli obtained.
{0}使用成功，获得钻石{1}	{0} used. {1} diamonds obtained.
{0}使用成功，获得行动力{1}	{0} used. {1} vitality obtained.
{0}打开成功，获得{1}	{0} opened. {1} obtained.
使用成功，七武海赦令持续时间延长30天	Item used successfully, Shichibukai Pardon’s duration extended for 30 days.
使用成功，四皇威势令持续时间延长30天	Item used successfully, Yonko's Prestige's duration extended for 30 days.
使用成功，新世界征召令持续时间延长30天	Item used successfully, New World Summons's duration extended for 30 days.
道具数量不足，不足以出售	Not enough items to sell
该装备上镶有宝石，无法出售	Gear embedded with gems cannot be sold.
成功售出{0}*{1}，获得贝利{2}	{0}*{1} sold. {2} Beli obtained.
恭喜你获得称号"{0}"，快去船员界面装备吧	Congrats!?You?obtained?{0}?title.?Go?and?equip?it?at?Crew?Interface.?
该道具不是装备	Not gear
装备已经装备在身上	Already equipped
装备未装备在身上	Not equipped yet
该道具不是宝物	That Item is not a Token.
宝物已经装备在身上	Token already equipped
宝物未装备在身上	Token not equipped yet
宝物强化成功	Token Enhanced successfully
等级不足，无法装备	Level too low. Cannot be equipped.
装备成功	Equipped
卸下成功	Removed
强化成功，{0}+{1}	Enhanced successfully, {0}+{1}
装备等级超过角色等级	Level higher than character level
恭喜您打造出目标品质宝物	Congrats!?You have forged token of target quality successfully!
很遗憾未能打造出目标品质宝物	Sorry, you have failed to forge token of target quality.
宝石镶嵌成功	Gem embedded
宝石移除成功	Gem removed
宝石镶嵌目标不存在	No target for embedment
宝石镶嵌已满	Gems full
已装备相同的宝石	Same gem attribute
装备精炼等级已达最大	Polish level cap reached
精炼成功	Successful
精炼失败，祝福值+{0}	Failed. Favor +{0}
自动精炼已停止	Auto Refine stopped
装备刻印等级已达最大	Imprint level cap reached
刻印成功	Successful
刻印失败，祝福值+{0}	Failed. Favor +{0}
自动刻印已停止	Auto Imprint stopped
宝石数量不足，无法合成	Not enough gems to synthesize
宝石等级已达上限	Gem level cap reached
合成目标宝石不存在	No target for synthesis
打造材料不足	Not enough materials to forge gear
制作道具成功，获得{0}	Successful Production, obtained {0}
购买材料成功	Successful buy materials.
你没有足够的图纸	You Do not have the blue print.
你没有足够的材料	Need not buy materials.
继承成功	Successful inherited.
进阶成功	Successful evolved.
古代兵器已解封到最高等级	Activated Ancient Weapons to the highest level
古代兵器已强化到最高等级	Enhanced Ancient Weapons to the highest level
强化成功	Enhanced successfully
解封失败，祝福值+{0}	Failed. Favor +{0}
解封成功	Activated successfully
战役数据不存在	Battles data doesn't exist.
战役未激活，请按照任务流程激活战役	Battles not activated. Please complete the related tasks to activate them.
战役点无法攻击，请先击败前置战役	Battle cannot be selected. Please complete the previous ones first.
战役点星级不足，宝箱无法领取	Battle stars rank too low. Rewards cannot be claimed.
剧情战役点扫荡开始	Story battle wipe-out begins.
剧情战役点扫荡结束	Story battle wipe-out ended.
精英战役进度重置成功	Elite battle progress reset
精英战役重置次数不足	Not enough chances for Elite Battle reset
成功兑换{0}*{1}	Successfully obtained {0}*{1}
您的{0}不足	Not enough {0}
刷新成功，道具数量已刷新	Refresh successfully, item amount has ben reset.
黑市商人在32级出现	Black Market Merchant is available at Lv32, purchase rare items here.
道具不存在	Item not exist in Black Market Merchant.
恭喜您招募到船员{0}！	Congrats,{0} recruited！
招募船员成功，获得道具{0}	Crew member recruited successfully. {0} obtained.
招募船员失败，获得{0}积分	Failed to recruit crew member. {0} points obtained.
{0}数量不足	Not enough {0}
精魂兑换成功	Spirit Exchanged.
主角无法下阵	Main cannot be removed from Formation.
船员上阵数量达到上限	Formation member number cap reached
阵法上有同名英雄，不能上阵	Same name crew, cannot drag into Formation now.
好友名字不能为空	Friend's name cannot be blank.
{0}已经是你的好友	{0} is already your friend.
好友添加成功	Friend added
好友删除成功	Friend deleted
请选中要删除的邮件	Please choose mail you want to delete
选中邮件还有附件，请先领取附件	Please claim the attachment from the mail you selected first
邮件删除成功	Mail deleted
邮件不存在	Mail doesn't exist.
请选中要领取的邮件	Please choose mail you want to claim
邮件附件不存在	Mail attachment doesn't exist.
邮件附件无附件或者已领取	Mail attachment claimed or not existing
请选中有附件的邮件	Please check the attachment from the mail you selected first
邮件接收者不能为空	Mail receiver can not be empty.
邮件标题不能为空	Mail subject can not be empty.
邮件内容不能为空	Mail content can not be empty.
邮件发送成功	Mail send
竞技场剩余挑战次数不足	Not enough challenge chances for arena
竞技场挑战冷却中	Arena challenge in CD now.
您已经在海贼团中，无法申请别的海贼团	Already in Pirate Team. Cannot apply to other Pirate Teams.
您已经在海贼团中，无法创建新的海贼团	Already in Pirate Team. Cannot create new Pirate Team.
申请成功，请等待军团长审批	Applied successfully. Please wait for the captain's approval.
取消申请成功	Application cancelled successfully.
创建军团成功	Pirate Team created
离开军团成功	Pirate Team quit
军团解散成功	Pirates Team Disbanded
更改海贼团公告成功	Pirate announcement edited
海贼团贡献贝利已达上限	Max Pirate Beli Contributions reached
贡献海贼团物资成功	Pirate contributions made
海贼团物资购买成功	Pirate goods purchased
海贼团科技升级成功	Pirate attribute upgraded
海贼团科技等级已满	Pirate attribute level max
您的权限不足	You don't have the authority.
踢出海贼团成员成功	Pirate member kicked out
转让海贼团团长成功	Pirate captain transferred
成员申请审批成功	Application approved
拒绝成员申请成功	Application rejected
拒绝所有成员申请成功	All applications rejected
海贼团申请列表为空	Empty application list
已经拥有藏宝图了	Already has a treasure map.
海贼旗等级太低	Pirates flag level low.
军团科技等级太低	Pirates technology level low.
军团商店等级太低	Pirates shop level low.
升级贡献不足	Not enough funds to upgrade.
军团等级已达最高	Pirates upgrade max.
军团升级成功	Pirates upgraded.
船员任命成功	Member appointed.
获得藏宝图成功	Received Treasure Map successfully
未加入海贼团,不能进入	Can’t enter without joining Pirates Team
贝壳数据不存在	Dial data don't exist.
贝壳等级已达上限	Dial level cap reached
贝壳探索区域已满	Dial bag full
贝壳探索区域为空	Dial bag empty
贝壳仓库已满	Dial warehouse full
贝壳仓库扩展成功	Dial Bag Expanded
拾取贝壳成功，请进入仓库中查看	Dial looted. Please check it in your warehouse.
一键拾取贝壳成功，请进入仓库中查看	All looted. Please check your warehouse.
没有符合一键吞噬的贝壳	No dials can be applied to One-click Devour.
不能装备重复属性的贝壳	Cannot equip dials with the same attribute.
贝壳装备已满	Equipped Dials full
自动探索开始	Auto Explore begins.
您的贝利不足，自动探索结束	Not enough Beli. Auto Explore ended.
贝壳仓库已满，自动探索结束	Dial warehouse full. Auto Explore ended.
升级贝壳成功	Dial upgraded
战船等级不足	Ship level too low
战船等级已达上限	Ship level cap reached
战船进阶成功	Ship upgraded
战船升级成功	Ship stars upgraded
战船升级失败，祝福值+{0}	Failed, favor +{0}
自动升级战船已停止	Auto Stars Upgrade stopped
该道具不是船件	Not a ship part
该船件已装备	Already equipped
该船件未被装备	Not equipped yet
船件装备成功	Ship part equipped
船件卸下成功	Ship part removed
船件等级已达上限	Ship part level cap reached
激活战船成功	Ship activated.
更改战船形象	Ship changed.
请选择重铸的主体	Please choose main parts to refine
重铸主体属性选择无效	Cannot choose this attribute of main part’s to refine. 
重铸材料属性选择无效	Cannot choose this attribute of material’s to refine.
重铸主体已经有该项属性	Main part has already had this attribute
没有选择祭品	No sacrifice chosen
重铸成功	Recast Successfully
重铸失败	Recast Failed
您的钓鱼次数不足	Not enough chances for fishing
购买钓鱼次数成功	Fishing chances purchased
兑换成功	Successfully exchanged
兑换所需的鱼数量不足	Not enough fishes to exchange
一键钓鱼成功，您总共钓鱼{0}次	One-click Fishing successful. You fished for {0} times
天赋等级已达上限	Talents level cap reached
天赋升级成功	Talents upgraded
个人天赋升级成功	Study upgraded
个人天赋重置	Study Reset
补签次数已使用完毕，成为更高级VIP将拥有更多补签次数	Late Sign-in chances used up. Upgrade your VIP to get more chances.
在线奖励已经领取完毕	Already claimed Online Rewards.
礼包领取成功	Giftpack successfully received.
没有可领取的礼包	Nothing to retrieve
VIP每日礼包已领取	Vip free gift claimed.
VIP优惠礼包已购买	Vip pay gift claimed.
请输入邀请码	 Please enter your Invitation Code.
投资成功	Invest successfully.
悬赏任务数据不存在	Bounty Task data don't exist.
您今日的悬赏任务已经全部完成	All Bounty Tasks complete today
您已经接取了悬赏任务，请完成后再接取	Please complete your current Bounty Task first
悬赏任务已经提交	Bounty Task submitted
您尚未接取悬赏任务	No Bounty Task accepted
您已经完成了该悬赏任务，可点击领取奖励	Bounty Task complete. Click to claim reward.
队伍创建成功	Team created
您已经在队伍中	Already in a team.
您不在队伍中，无法离开队伍	You're not in a team. Cannot quit.
您不在队伍中	You're not in a team.
队长解散了队伍	The leader disbanded the team.
队长转让给了{0}	The leader is transferred to {0}
离开了队伍	Team quit
被踢出了队伍	Kicked out from team
{0}离开了队伍	{0} quit the team
{0}加入了队伍	{0} joined the team
{0}被踢出了队伍	{0} was kicked out from the team
加入队伍成功	Team joined
该队伍人数已满	Team full
您的战斗力未达到该队伍的要求	Your battle power doesn't meet the requirement of the team.
您不是队长	You're not the leader.
您不能踢出您自己	You cannot kick yourself out.
您不在队伍中，无法开始战斗	You're not in a team. The battle cannot start.
您的组队战次数已用完	Team battle chances used up
没有找到符合条件的队伍	Team requirements not met
您已经完成了所有试炼	You have completed all Trial
正在进行海贼试炼扫荡，无法挑战	Pirate Trial in progress, can't challenge now
您已经完成当前最大进度，无需扫荡	You have finished all available trial, no need to wipe-out
您的试炼进度为空，无需扫荡	Your trial progress is empty, no need to wipe-out
试炼扫荡开始	Trial Wipe-out begins
您当前尚未开始试炼，无需重置	Trial not activated, no need to reset
魔人奥兹活动尚未开启	Devil Oars not activated yet
魔人奥兹已经被击败	Devil Oars defeated
您正在复活中	Reviving
您的二档模式已经开到最高	Gear 2nd Inspiration cap reached
您的三档模式已经开到最高	Gear 3rd Inspiration cap reached
您的挑战次数已经使用完毕，无法继续挑战	Challenges used up
推进城进度重置成功	Impel Down progress reset
您今日的推进城重置次数已用完	Impel Down reset chances used up today
推进城扫荡开始	Impel Down wipe-out begins.
您的推进城进度为空，无需扫荡	No Impel Down progress. No need to wipe-out
您的推进城进度已达最大，无需扫荡	Impel Down progress cap reached. No need to wipe-out
只有团长才能报名	Only Pirate Captain can register
海贼团已报名参赛	The Pirates has registered
海贼团没有获得比赛资格，无法进入	The Pirates is not qualified to register, failed to enter
交换位置信息错误	Change position error
只有团长才能调整位置	Only the Captain can adjust position
答题已开始，请先完成当前答题	Pirate Quiz has started, please complete the questions first
今日答题次数已达上限	Max Quiz times reached
答题尚未开始或者已结束	Pirate Quiz not yet starts or already ends
答题超时	Quiz Time Out
您今日的夺宝奇兵重置次数已用完	Today's Max Treasure Hunter Reset Times Reached 
您已经完成了所有夺宝奇兵关卡	All Treasure Hunter stages are completed
当前关卡进度信息错误	Current stage progress info error
请先领取前一个关卡的奖励	Please claim the rewards from previous stage
您尚未选择任何参与的船员，请点击选择船员按钮	Not yet select any crew, please click to choose crew
您阵上的船员都已经阵亡，请重置次数	All crew members are dead, please reset
请先击败该关卡之后再领取奖励	Please challenge the stage first to claim rewards
该奖励已领取	Already claimed
恭喜您完成了今日的夺宝奇兵	Congrats! You have completed today's Treasure Hunter
您正在复活中	Reviving...
不能攻打同阵营npc	Cannot battle with NPC from self team
20级开始狩猎	Lv20 to active hunting
狩猎未开启	Hunting not open
狩猎已结束	Hunting finished
狩猎冷却中	Battle Still In CD
购买门票成功，大乱斗开始	Successfully purchased one entrance ticket, Super Smash starts.
抽卡次数不足	Your flip cards chances not enough.
上阵人数不足，无法开战	Start battle after choosing 5 crew members.
护送次数不足,不能护送	Not enough escort chances, cannot escort now.
抢劫次数不足,不能抢劫	Not enough plundre chances, cannot plunder now.
50级开启护航	Lv50 to active Convoy
当前佩戴的称号已达上限	Max title reached
对不起，您的数据异常，请再玩一次	Your data is abnormal, please try again.
认购成功	Subscribed successfully
内部指令{0}数据错误	System order {0} data error
{0}	{0}
恭喜【{0}】通过装备制作获得了【{1}】！	Congratulations to "{0}" for obtaining "{1}" from Gear Forging!
恭喜【{0}】成功将【{1}】精炼到【{2}】星！	Congratulations to "{0}" for polishing "{1}" to stars "{2}"!
恭喜【{0}】通过贝壳探索获得了【{1}】！	Congratulations to "{0}" for obtaining "{1}" from Dials exploration!
恭喜【{0}】通成功将【{1}】升到了【{2}】级！	Congratulations to "{0}" for upgrading "{1}" to level "{2}"!
【{0}】经过艰苦奋战后击败了【{1}】，夺得了竞技场排名第【{2}】！	After an arduous battle, "{0}" defeated "{1}" and became NO. "{2}" in Arena rankings!
恭喜【{0}】在{1}中招募到了{2}星船员【{3}】！	Congratulations to "{0}" for recruiting crew member "{3}" of stars {2} from {1}!
恭喜【{0}】将【{1}】升至{2}星！	Congratulations to "{0}" for upgrading "{1}" to stars {2}!
魔人奥兹活动将在5分钟后开启，请各位船长踊跃参加！	Devil Oars is going to be activated in 5 mins. Captains, are you ready?
经过一番激烈的战斗，【{0}】发出最后致命一击，终于击败了魔人奥兹，获得奖励{1}贝利和{2}知名度。	At the end of the fierce battle, "{0}" delivered a death blow to Devil Oars and killed him. reward {1} Beli and {2} Fame!
魔人奥兹活动已结束，虽然大家奋力拼搏但仍旧没能阻止魔人奥兹的侵入，请下次继续努力！	Devil Oars has ended. No one stopped him at the end though everyone had fought bravely. Please try harder next time!
{0}在魔人奥兹活动中累计造成了{1}伤害，排名第{2}，额外获得奖励{3}贝利和{4}知名度。	In Devil Oars, {0} dealt {1} in total damage, ranked No. {2}, bonus reward {3} Beli and {4} Fame.
【{0}】开启了【{1}[{2}]】组队挑战，诚邀各位船长加入一同战斗。{3}	{0} activated "{1}[{2}] "for team challenge, please click to {3}.
海贼大战已经打响，请各位船长踊跃参加战斗，为海贼团贡献一份力量！	Pirate Battle starts, please join the battle and fight for your own Pirates flag.
{0}战场战斗中，{1}战胜了对方成员{2}。	In {0} battlefield, {1} defeated {2}.
{0}战场战斗中，{1}被对方成员{2}击败。	In {0} battlefield, {1} was defeated by {2}.
{0}击败了{1}，获得本轮海贼大战的胜利！	{0} defeated {1} and won the victory!
{0}本轮轮空，直接获得胜利！	{0} didn't meet any opponents and won!
本届海贼大战已结束。	The Pirate Battle has come to an end. 
{0}众志成城获得冠军！	{0} is the Champion! 
{0}获得亚军。	{0} is ranked No. 2. 
{0}获得季军。	{0} is rank No.3. 
{0}获得第四名。	{0} is ranked No.4. 
{0}战场由我方获得胜利。	In {0} battlefield, we are the winner.
{0}战场由对方获得胜利。	In {0} battlefield, we are defeated.
{0}击杀了{1}，获得了{2}。	{0} defeated {1} and obtained {2}.
{0}在伟大航路阵地战中累计造成了{1}伤害，排名第{2}，额外获得奖励{3}贝利。	At the Grand Line Warfare, {0} dealt {1} DMG and ranked {2}. Extra bonus for {3} Beli. Congrats!
新的怪物到达了战场。	New monsters have arrived at the battlefield.
伟大航路阵地战将在10分钟后开启，请各位船长踊跃参加！	Grand Line Warfare will start in 10 minutes. Captains, please get ready to join!
Cipher Pol NO.9向流窜在{0}的海贼们发起了围剿，赶快发起反击吧！	CP9 members are suddenly attacking at {0}. Go and defeat them!
恭喜{0}击败了{1}，获得了{2}	Congratulations to {0} for defeating {1} and obtained {2}.
【{0} LV{1}】开始护送【{2}】。	[{0} LV{1}] starts to escort [{2}]
去打劫	Go to plunder
{0}人品爆发，在龙宫宝库中刷出了{1}商品！	{0} is so lucky and obtained {1} item in the Treasure House!
今天的拍卖会已落下帷幕，最终由【s{0}】【{1}】出价【{2}】拍得了【{3}】！	Today's auction is over.Finally 【{3}】were sold to bidder【s{0}】【{1}】at the price of 【{2}】.
你对【{0}】的出价被人超过了，赶紧去看看吧！	Someone has given higher price than you on 【{0}】,check it out!
去看看	Check it out
{0}  经过不懈的努力终于成功打造出了 "{1}"！	{0}  has forged  "{1}"  successfully with unremitting efforts!
服务器登陆成功！\n\t抵制不良游戏，拒绝盗版游戏。\n\t注意自我保护，谨防受骗上当。\n\t适度游戏益脑，沉迷游戏伤身。\n\t合理安排时间，享受健康生活。	Welcome to Onepiece Online 2: Pirate King! Start your journey, recruit crew members, and become the Pirate King!
【世界】	[World]
【军团】	[Pirates]
【私聊】	[PM]
【战斗】	[Battle]
【英语】	[EN]
【传闻】	[Rumor]
【公告】	[Announcement]
【系统】	[System]
{0}：	[{0}]: 
{0}悄悄地说：	{0} whispers: 
你悄悄地对{0}说：	You whisper to {0}: 
未加入军团不能发起军团聊天	Please joined Pirates Team before chatting in Pirates Channel
加入了海贼团	 joined pirate team
离开了海贼团	 quit pirate team
被踢出了海贼团	 was kicked out from pirate team
成为了海贼团团长	 became the Pirates captain
从{0}变成{1}	 appointed from {0} to {1}
第1~4次购买，25钻石/次\n第5~8次购买，50钻石/次\n第9~12次购买，75钻石/次\n第13~16次购买，100钻石/次\n第17~20次购买，125钻石/次\n第21~30次购买，150钻石/次\n第31~40次购买，200钻石/次	1st-4th Vitality Purchase: 25 diamond\n5th-8th Vitality Purchase: 50 diamond\n9th-12th Vitality Purchase: 75 diamond\n13th-16th Vitality Purchase: 100 diamond\n17th-20th Vitality Purchase: 125 diamond\n21th-30th Vitality Purchase: 150 diamond\n31th-40th Vitality Purchase: 200 diamond
{0}贝利	{0} Beli
{0}点券	{0} Coupon
{0}钻石	{0} Diamond
{0}点券和{1}钻石	{0} Coupon and {1} Diamond
{0}贡献	{0} Contribution
{0}精魄	{0} Spirit
是否消耗{0}购买{1}行动力？	Confirm to buy {1} vitality with {0}?
出售{0}个{1}，将获得{2}贝利。	Sell {0} {1} to obtain {2} Beli.
请选择物品的数量	Please select Item quantity.
是否出售{0}个{1}？	Confirm to sell {0} {1}?
是否消耗{0}，扩展5格背包格子？	Confirm to expand 5 space grids in your bag with {0}?
是否让船员{0}离队，如果船员身上有装备将离队失败？	Confirm to let {0} quit? The action will fail if the crew member is equipped.
是否让船员{0}归队，如果没有空余位置将归队失败？	Confirm to recall {0}? The action will fail if no room is left.
确定要消耗一张变身卡，变成{0}的形象吗?	Confirm to change figure to {0} with 1 card?
确定将{0}招募为伙伴吗？\n（将会消耗{1}个碎片）	Confirm to recruit {0}?\n（Cost:{1} fragments）
是否消耗{0}重置该精英的挑战次数为3次？今日已重置次数{1}/{2}	Reset to 3 times with {0}, sure? (Reset used today {1}/{2})
是否消耗{0}个{1}兑换{2}个{3}？	Confirm to exchange {0} {1} for {2} *{3}?
确定花费 {0} 来刷新吗？	Confirm to refresh exchange with {0}?
确定花费{0}来刷新黑市商人吗？	Confirm to refresh Black Market with {0}?
确定花费{2} 来购买 {0} *{1}吗？	Confirm to buy {0} *{1} with {2}?
是否消耗{0}摇晃贝利树，本次可获得贝利{1}？	Confirm to spend {0} in shaking the Beli Tree to gain {1} Beli?
是否删除好友{0}？	Confirm to delete friend {0}?
是否删除该封邮件？	Confirm to delete this mail?
是否消耗{0}购买1次竞技场挑战次数？	Confirm to buy 1 Arena challenge with {0}?
是否消耗{0}购买竞技场挑战冷却？	Confirm to clear Arena challenge CD time with {0}?
是否消耗{0}清除军团科技冷却？	Confirm to clear Pirates Attributes CD time with {0}?
创建海贼团需要花费{0},确定要创建吗？	Creating Pirates Team will cost {0}, sure to create?
捐献{0}贝利和{1}钻石，并获得{2}贡献	Donate {0} Beli and {1} Diamonds to obtain {2} Contribution, are you sure to donate?
是否消耗{0}贡献立刻刷新海贼团商店？	Confirm to reset Pirates shop with {0} contribution?
您真的要解散海贼团？	Confirm to Disband Pirates Team?
您真的要退出海贼团？	Confirm to quit pirate team?
是否将{0}(lv{1})踢出海贼团？	Confirm to kick out {0} (lv{1}) from pirate team?
是否将军团转让给{0}，转让成功职位将会降至为成员？	Confirm to transfer captain to {0}? You'll become a common member.
是否消耗{0}清除天赋冷却？	Confirm to clear Talents CD time with {0}?
是否消耗{0}购买1次钓鱼次数？	Confirm to buy 1 Fishing chance with {0}?
是否消耗{0}立即清除训练冷却？	Confirm to clear training CD time with {0}?
是否消耗{0}立即刷新悬赏任务？	Confirm to complete all daily tasks in 7 star with {0} Vitality?
是否使用{0}贝利刷新当前任务星级？	Confirm to refresh Daily Task Star with {0}?
是否花费{0}刷新悬赏任务	Confirm to reset Bounty Task with {0}?
是否消耗{0}购买1次组队战役次数？	Confirm to buy 1 Team Battles chance with {0}?
是否重置当前试炼进度？	Confirm to reset current trial progress?
你确定花费{0}点卷来重置海贼试练吗	Confirm to reset Pirate Trial with {0} coupons?
完成跳关，您当前关卡为第{0}关	Stages skipped. You're in stage {0} now.
是否消耗{0}立即复活？	Confirm to revive immediately with {0}?
是否重置当前进度，开始新一轮挑战？	Confirm to reset the current progress and start over?
你确定花费{0}点卷来重置推进城进度吗	Confirm to reset Impel Down progress with {0} coupons?
确定购买{0}个{1}，总共花费{2}？	Confirm to buy {0} {1} with {2}?
自动刻印将消耗对应的材料，直到成功位置，若材料不足将自动停止刻印。是否开始自动刻印？	Auto Imprint will consume your materials until success. If materials are not enough, it'll stop automatically. Auto imprint now?
您的重铸属性中含有橙色属性未锁定，是否继续重铸？	An orange attribute not locked yet. Confirm to refine it?
您的古代兵器改造属性中含有红色属性未锁定，是否继续改造？	Your Ancient Weapon' in Remolding has unlocked Inferno gear attributes, confirm to Remold it?
{0}向你发起挑战，是否接受？	{0} challenge you, accept?
你确定要从战斗中撤退吗？	Sure to retreat from battle?
是否重置当前夺宝奇兵进度？	Sure to reset current Treasure Hunter progress?
